,brewery_id,brewery_name,city,state
500,500,High Noon Saloon And Brewery,Leavenworth, KS
501,501,Woodchuck Hard Cider,Middlebury, VT
502,502,Sea Dog Brewing Company,Portland, ME
503,503,Oskar Blues Brewery,Lyons, CO
504,504,Carolina Beer & Beverage,Mooresville, NC
505,505,Krebs Brewing Company (Pete's Pl...,Krebs, OK
506,506,Warbird Brewing Company,Fort Wayne, IN
507,507,Mudshark Brewing Company,Lake Havasu City, AZ
508,508,Spilker Ales,Cortland, NE
509,509,Wingman Brewers,Tacoma, WA
510,510,Kettle House Brewing Company,Missoula, MT
511,511,Sherwood Forest Brewers,Marlborough, MA
512,512,Cottrell Brewing,Pawcatuck, CT
513,513,Arctic Craft Brewery,Colorado Springs, CO
514,514,Monkey Paw Pub & Brewery,San Diego, CA
515,515,Crabtree Brewing Company,Greeley, CO
516,516,Emerald City Beer Company,Seattle, WA
517,517,Butcher's Brewing,Carlsbad, CA
518,518,New South Brewing Company,Myrtle Beach, SC
519,519,Big River Brewing Company,Chattanooga, TN
520,520,Twisted Pine Brewing Company,Boulder, CO
521,521,Flying Dog Brewery,Frederick, MD
522,522,Uncommon Brewers,Santa Cruz, CA
523,523,Aspen Brewing Company,Aspen, CO
524,524,Triangle Brewing Company,Durham, NC
525,525,Bomb Beer Company,New York, NY
526,526,Churchkey Can Company,Seattle, WA
527,527,Intuition Ale Works,Jacksonville, FL
528,528,Asheville Brewing Company,Asheville, NC
529,529,Northwoods Brewpub,Eau Claire, WI
530,530,Buckbean Brewing Company,Reno, NV
531,531,Dolores River Brewery,Dolores, CO
532,532,Flat Rock Brewing Company,Smithton, PA
533,533,Abita Brewing Company,Abita Springs, LA
534,534,Mammoth Brewing Company,Mammoth Lakes, CA
535,535,Harvest Moon Brewing Company,Belt, MT
536,536,Grand Canyon Brewing Company,Williams, AZ
537,537,Lewis and Clark Brewing Company,Helena, MT
538,538,Dundee Brewing Company,Rochester, NY
539,539,Twin Lakes Brewing Company,Greenville, DE
540,540,Mother Earth Brewing Company,Kinston, NC
541,541,Arcadia Brewing Company,Battle Creek, MI
542,542,Angry Minnow Brewing Company,Hayward, WI
543,543,Great Northern Brewing Company,Whitefish, MT
544,544,Pyramid Breweries,Seattle, WA
545,545,Lancaster Brewing Company,Lancaster, PA
546,546,Upstate Brewing Company,Elmira, NY
547,547,Moat Mountain Smoke House & Brew...,North Conway, NH
548,548,Prescott Brewing Company,Prescott, AZ
549,549,Mogollon Brewing Company,Flagstaff, AZ
550,550,Wind River Brewing Company,Pinedale, WY
551,551,Silverton Brewery,Silverton, CO
552,552,Mickey Finn's Brewery,Libertyville, IL
553,553,Covington Brewhouse,Covington, LA
554,554,Dave's Brewfarm,Wilson, WI
555,555,Ukiah Brewing Company,Ukiah, CA
556,556,Butternuts Beer and Ale,Garrattsville, NY
557,557,Sleeping Lady Brewing Company,Anchorage, AK
